,id_componente,codigo,nome,departamento
18540,52692,IMD0504,"RELAÇÕES ENTRE COMUNICAÇÃO, MÍDIA E EDUCAÇÃO",INSTITUTO METROPOLE DIGITAL
18541,52693,IMD0505,DESIGN DA INTERAÇÃO HUMANO-COMPUTADOR,INSTITUTO METROPOLE DIGITAL
18542,52694,IMD0506,SISTEMAS COLABORATIVOS DE APOIO À APRENDIZAGEM,INSTITUTO METROPOLE DIGITAL
18543,52695,IMD0507,TECNOLOGIAS EDUCACIONAIS,INSTITUTO METROPOLE DIGITAL
18544,52696,IMD0508,EDUCAÇÃO A DISTÂNCIA,INSTITUTO METROPOLE DIGITAL
18545,52697,IMD0510,ACESSIBILIDADE DIGITAL,INSTITUTO METROPOLE DIGITAL
18546,52698,IMD0511,INTELIGÊNCIA ARTIFICIAL APLICADA À EDUCAÇÃO,INSTITUTO METROPOLE DIGITAL
18547,52699,IMD0512,AVALIAÇÃO DA INTERAÇÃO HUMANO-COMPUTADOR,INSTITUTO METROPOLE DIGITAL
18548,52700,IMD0513,EMPREENDEDORISMO,INSTITUTO METROPOLE DIGITAL
18549,52701,IMD0514,ATIVIDADES COMPLEMENTARES DE INFORMÁTICA EDUCACIONAL,INSTITUTO METROPOLE DIGITAL
18550,52702,IMD0515,TÓPICOS ESPECIAIS EM INFORMÁTICA EDUCACIONAL I,INSTITUTO METROPOLE DIGITAL
18624,52778,IMD0022,ESTRUTURA DE DADOS BÁSICAS I,INSTITUTO METROPOLE DIGITAL
18625,52779,IMD0317,PROJETO INTEGRADO III,INSTITUTO METROPOLE DIGITAL
18626,52780,IMD0311,PROJETO INTEGRADO II,INSTITUTO METROPOLE DIGITAL
18628,52782,IMD0037,PRÁTICAS DE LEITURA E ESCRITA EM INGLÊS,INSTITUTO METROPOLE DIGITAL
18629,52783,IMD0304,PROJETO DE SISTEMAS OPERACIONAIS,INSTITUTO METROPOLE DIGITAL
18630,52784,IMD0026,PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS II,INSTITUTO METROPOLE DIGITAL
18631,52785,IMD0025,LABORATÓRIO DE PROGRAMAÇÃO I,INSTITUTO METROPOLE DIGITAL
18632,52786,IMD0035,LABORATÓRIO DE PROGRAMAÇÃO II,INSTITUTO METROPOLE DIGITAL
18633,52787,IMD0032,ESTRUTURAS DE DADOS BÁSICAS II,INSTITUTO METROPOLE DIGITAL
18634,52788,IMD0412,INTRODUÇÃO AO TESTE DE SOFTWARE,INSTITUTO METROPOLE DIGITAL
18635,52789,IMD0404,DESENVOLVIMENTO DE SISTEMAS WEB I,INSTITUTO METROPOLE DIGITAL
18636,52790,IMD0401,BANCO DE DADOS,INSTITUTO METROPOLE DIGITAL
18637,52791,IMD0409,DESENVOLVIMENTO DE SISTEMAS WEB II,INSTITUTO METROPOLE DIGITAL
18638,52792,IMD0403,PROGRAMAÇÃO COM BANCO DE DADOS,INSTITUTO METROPOLE DIGITAL
18639,52793,IMD0413,DESENVOLVIMENTO PARA AMBIENTE DESKTOP,INSTITUTO METROPOLE DIGITAL
18640,52794,IMD0509,DESENVOLVIMENTO PARA DISPOSITIVOS MÓVEIS,INSTITUTO METROPOLE DIGITAL
18641,52795,IMD0410,PROGRAMAÇÃO CONCORRENTE E DISTRIBUÍDA,INSTITUTO METROPOLE DIGITAL
18642,52796,IMD0414,SISTEMA DE INFORMAÇÃO DISTRIBUÍDO,INSTITUTO METROPOLE DIGITAL
18643,52797,IMD0305,PROJETO INTEGRADO I,INSTITUTO METROPOLE DIGITAL
18813,52969,IMD0318,ATIVIDADES COMPLEMENTARES DE SISTEMAS EMBARCADOS,INSTITUTO METROPOLE DIGITAL
18837,52994,IMD0000,ATIVIDADES COMPLEMENTARES DE TECNOLOGIA DA INFORMAÇÃO,INSTITUTO METROPOLE DIGITAL
18838,52995,IMD0418,ATIVIDADES COMPLEMENTARES DE SISTEMAS DE INFORMAÇÃO DE GESTÃO,INSTITUTO METROPOLE DIGITAL
18839,52996,IMD0516,TÓPICOS ESPECIAIS EM INFORMÁTICA  EDUCACIONAL II,INSTITUTO METROPOLE DIGITAL
18913,53078,ECT1507,RELAÇÕES DE GÊNERO EM CIÊNCIAS E TECNOLOGIA,ESCOLA DE CIÊNCIAS E TECNOLOGIA
18914,53079,ECT1508,"POLÍTICAS, PLANEJAMENTO E GERENCIAMENTO INTEGRADO DOS RECURSOS HÍDRICOS",ESCOLA DE CIÊNCIAS E TECNOLOGIA
18915,53080,ECT1509,TÓPICOS ESPECIAIS EM DESENVOLVIMENTO SUSTENTÁVEL - ARRANJOS PRODUTIVOS LOCAIS (APLS),ESCOLA DE CIÊNCIAS E TECNOLOGIA
19884,54159,IMD0927,AUTOMAÇÃO INDUSTRIAL,INSTITUTO METROPOLE DIGITAL
19885,54160,IMD0928,SENSORES E ATUADORES,INSTITUTO METROPOLE DIGITAL
19886,54161,IMD0929,CONTROLE E SERVOMECANISMOS,INSTITUTO METROPOLE DIGITAL
20539,55019,IMD0017,PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS I,INSTITUTO METROPOLE DIGITAL
20540,55020,IMD0018,PRÁTICAS DE LEITURA EM INGLÊS,INSTITUTO METROPOLE DIGITAL
20541,55021,IMD0027,PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS II,INSTITUTO METROPOLE DIGITAL
20542,55022,IMD0028,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,INSTITUTO METROPOLE DIGITAL
20543,55023,IMD0029,ESTRUTURA DE DADOS BÁSICAS I,INSTITUTO METROPOLE DIGITAL
20544,55024,IMD0030,LINGUAGEM DE PROGRAMAÇÃO I,INSTITUTO METROPOLE DIGITAL
20545,55025,IMD0038,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,INSTITUTO METROPOLE DIGITAL
20546,55026,IMD0039,ESTRUTURAS DE DADOS BÁSICAS II,INSTITUTO METROPOLE DIGITAL
