,id_componente,codigo,nome,unidade_responsavel,id_curriculo,tipo_vinculo_componente
142,26921,DIM0096,TOPICOS ESPECIAIS EM COMPUTACAO VII,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,102200805,OPTATIVO
143,26921,DIM0096,TOPICOS ESPECIAIS EM COMPUTACAO VII,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669382,OPTATIVO
144,26921,DIM0096,TOPICOS ESPECIAIS EM COMPUTACAO VII,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101668583,OPTATIVO
145,26921,DIM0096,TOPICOS ESPECIAIS EM COMPUTACAO VII,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669220,OPTATIVO
146,26921,DIM0096,TOPICOS ESPECIAIS EM COMPUTACAO VII,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101658777,OPTATIVO
147,26921,DIM0096,TOPICOS ESPECIAIS EM COMPUTACAO VII,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,105755388,OPTATIVO
148,26921,DIM0096,TOPICOS ESPECIAIS EM COMPUTACAO VII,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101659860,OPTATIVO
149,26922,DIM0097,TOPICOS ESPECIAIS EM COMPUTACAO VIII,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669382,OPTATIVO
150,26922,DIM0097,TOPICOS ESPECIAIS EM COMPUTACAO VIII,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669220,OPTATIVO
151,26922,DIM0097,TOPICOS ESPECIAIS EM COMPUTACAO VIII,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101658777,OPTATIVO
152,26922,DIM0097,TOPICOS ESPECIAIS EM COMPUTACAO VIII,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101659860,OPTATIVO
153,26922,DIM0097,TOPICOS ESPECIAIS EM COMPUTACAO VIII,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101668583,OPTATIVO
154,26922,DIM0097,TOPICOS ESPECIAIS EM COMPUTACAO VIII,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,102200805,OPTATIVO
155,26922,DIM0097,TOPICOS ESPECIAIS EM COMPUTACAO VIII,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,105755388,OPTATIVO
156,26923,DIM0098,TOPICOS ESPECIAIS EM COMPUTACAO IX,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669220,OPTATIVO
157,26923,DIM0098,TOPICOS ESPECIAIS EM COMPUTACAO IX,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101659860,OPTATIVO
158,26923,DIM0098,TOPICOS ESPECIAIS EM COMPUTACAO IX,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669382,OPTATIVO
159,26923,DIM0098,TOPICOS ESPECIAIS EM COMPUTACAO IX,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101658777,OPTATIVO
160,26923,DIM0098,TOPICOS ESPECIAIS EM COMPUTACAO IX,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,105755388,OPTATIVO
161,26923,DIM0098,TOPICOS ESPECIAIS EM COMPUTACAO IX,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101668583,OPTATIVO
162,26923,DIM0098,TOPICOS ESPECIAIS EM COMPUTACAO IX,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,102200805,OPTATIVO
163,26924,DIM0099,TOPICOS ESPECIAIS EM COMPUTACAO X,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101659860,OPTATIVO
164,26924,DIM0099,TOPICOS ESPECIAIS EM COMPUTACAO X,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,102200805,OPTATIVO
165,26924,DIM0099,TOPICOS ESPECIAIS EM COMPUTACAO X,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101658777,OPTATIVO
166,26924,DIM0099,TOPICOS ESPECIAIS EM COMPUTACAO X,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101668583,OPTATIVO
